latitude,longitude,weather,road_type,severity,hour,day_of_week,is_weekend
28.58727005942368,77.33889463107857,Rain,Highway,4,0,6,1
28.875357153204956,77.19780681748774,Snow,Highway,2,0,6,1
28.7659969709057,77.07818624425288,Rain,Highway,2,0,6,1
28.69932924209852,77.29465671464403,Fog,Highway,4,0,6,1
28.47800932022122,77.16747125427332,Clear,Highway,1,0,6,1
28.4779972601681,77.237850993381,Clear,Rural,3,0,6,1
28.429041806084097,77.04290611606957,Rain,Rural,4,0,6,1
28.833088072887467,77.2526335958064,Rain,Urban,4,0,6,1
28.700557505871604,77.14942019557805,Fog,Rural,4,0,6,1
28.75403628889802,77.1336758998874,Rain,Urban,3,0,6,1
28.4102922471479,77.39196623151112,Rain,Rural,4,0,6,1
28.884954926080997,77.1729722571041,Clear,Highway,3,0,6,1
28.81622132040021,77.2712153512463,Rain,Urban,3,0,6,1
28.506169555339135,77.25109101422954,Snow,Rural,3,0,6,1
28.490912483603548,77.04172142035407,Clear,Urban,3,0,6,1
28.49170225492671,77.29917101482573,Rain,Urban,3,0,6,1
28.552121121479768,77.12926368137343,Snow,Highway,3,0,6,1
28.66237821581612,77.3195758196787,Fog,Highway,1,0,6,1
28.615972509321058,77.24305631304615,Rain,Urban,4,0,6,1
28.54561457009902,77.1268365959814,Rain,Rural,1,0,6,1
28.70592644736119,77.14251718413243,Fog,Rural,2,0,6,1
28.469746930326018,77.29260294786656,Snow,Urban,1,0,6,1
28.54607232426761,77.22002372604915,Snow,Rural,3,0,6,1
28.583180921646843,77.26734041626852,Snow,Urban,3,0,6,1
28.62803499210852,77.06332732843008,Snow,Highway,3,0,6,1
28.792587980696503,77.31479066889138,Fog,Rural,4,0,6,1
28.499836891079177,77.12815652756602,Snow,Urban,1,0,6,1
28.657117219206803,77.24794450686308,Fog,Urban,4,0,6,1
28.69620728443102,77.04587193009681,Snow,Rural,3,0,6,1
28.42322520636,77.12856809646279,Fog,Urban,4,0,6,1
28.703772425950717,77.25954691722666,Snow,Urban,4,0,6,1
28.485262061843645,77.1096824529161,Fog,Rural,3,0,6,1
28.432525796492637,77.35212487869993,Rain,Urban,2,0,6,1
28.874442768626665,77.26449135977737,Snow,Rural,4,0,6,1
28.882816016537276,77.34811135731873,Snow,Urban,3,0,6,1
28.804198674058227,77.15815628090046,Fog,Urban,3,0,6,1
28.552306884586685,77.01359405704987,Rain,Urban,1,0,6,1
28.44883605700319,77.23045598534205,Rain,Urban,3,0,6,1
28.74211651325608,77.13567740109015,Fog,Urban,1,0,6,1
28.6200762468698,77.17927535036894,Clear,Rural,1,0,6,1
28.46101911742239,77.2724440855691,Snow,Urban,4,0,6,1
28.647588455055633,77.28026586682836,Snow,Rural,3,0,6,1
28.417194260557608,77.01102256594632,Rain,Highway,1,0,6,1
28.85466020103939,77.30772106913585,Snow,Rural,3,0,6,1
28.52938999080001,77.19740756598243,Clear,Highway,2,0,6,1
28.73126114217699,77.22267950932982,Fog,Urban,1,0,6,1
28.555855538044703,77.11919767407595,Fog,Rural,1,0,6,1
28.660034010588905,77.16833351440023,Fog,Rural,1,0,6,1
28.67335513967164,77.28415005359173,Snow,Highway,2,0,6,1
28.49242722776276,77.3106855211777,Rain,Highway,1,0,6,1
28.88479231388228,77.1548424724672,Clear,Highway,4,0,6,1
28.787566411680555,77.27644701306053,Rain,Highway,3,0,6,1
28.869749470782093,77.10321740067538,Fog,Urban,4,0,6,1
28.847413675213826,77.33280906607101,Clear,Highway,4,0,6,1
